id,english,translation
0x002600F8,"[Left_Toggle]","< 번역 누락 : 0x002600F8 >"
0x0033E7B4,"Senior Producers","< 번역 누락 : 0x0033E7B4 >"
0x006D74B4,"Downloadable content is being scanned.","< 번역 누락 : 0x006D74B4 >"
0x006E3F1A,"MEDIUM CURRENCY","< 번역 누락 : 0x006E3F1A >"
0x00914BC1,"TRACK CONTROL","@ 선 로 조 종 기"
0x00914BC2,"SWITCH TRACKS","--선 로 변 경--"
0x00914BC3,"SWITCHING TRACKS","-선 로 변 경 중-"
0x00914BC4,"TRACK CONTROLS OFFLINE","선로 조종기 작동 중지"
0x00CD8701,"Move Back","뒤 로"
0x00EF2D3B,"Destroy the Gravity Tethers","중력 올가미를 파괴하라"
0x01295D13,"[Navigate]Navigate   [Use]Select   [Elev_Back]Back","< 번역 누락 : 0x01295D13 >"
0x0172CD2D,"CREW KEY","승 무 원 열 쇠"
0x017B35EA,"Tab","< 번역 누락 : 0x017B35EA >"
0x01876D3C,"Reconnect Power Modules Throughout Chamber","파 워 모 듈 재 연 결"
0x0192B046,"Tram Station","정 거 장"
0x01C0B602,"Chapter 1:\nNew Arrivals","< 번역 누락 : 0x01C0B602 >"
0x01C0B603,"Chapter 2:\nIntensive Care","< 번역 누락 : 0x01C0B603 >"
0x01C0B604,"Chapter 3:\nCourse Correction","< 번역 누락 : 0x01C0B604 >"
0x01C0B605,"Chapter 4:\nObliteration Imminent","< 번역 누락 : 0x01C0B605 >"
0x01C0B606,"Chapter 5:\nLethal Devotion","< 번역 누락 : 0x01C0B606 >"
0x01C0B607,"Chapter 6:\nEnvironmental Hazard","< 번역 누락 : 0x01C0B607 >"
0x01C0B608,"Chapter 7: \nInto the Void","< 번역 누락 : 0x01C0B608 >"
0x01C0B609,"Chapter 8:\nSearch and Rescue","< 번역 누락 : 0x01C0B609 >"
0x01C0B60A,"Chapter 9: \nDead on Arrival","< 번역 누락 : 0x01C0B60A >"
0x01CFF869,"I can use my uniform's RIG (Resource Integration Gear) to interface with the Ishimura's holographic display system.","RIG: 자원제공 통합장비"
0x02508BFD,"You can add items from the Shop or move items from the Safe here.","구매하거나 보관된 아이템으로 여기에 추가가 가능하다."
0x029BAA62,"INVENTORY","가 방"
0x02A0D6FB,"Training Tip:\n TK ","< 번역 누락 : 0x02A0D6FB >"
0x02A0D6FC,"Training Tip:\n Airless Environments","< 번역 누락 : 0x02A0D6FC >"
0x02A0D6FD,"Training Tip:\n Zero - G","< 번역 누락 : 0x02A0D6FD >"
0x02A74B3F,"Supply Depot","보 급 품 저 장 소"
0x02A74B40,"Airlock B","밀 페 실 B"
0x02A74B41,"Airlock D","밀 페 실 D"
0x02A74B42,"Airlock C","밀 페 실 C"
0x02F2CC98,"Get off my ship!","내 배에서 내려!"
0x034134A5,"Punch","휘 두 르 기"
0x03593645,"1<T>QA Immersion\n<L>Craig Helm\nNolberto Meza\nMatt Tomczek\n\n<T>Senior QA Engineer\n<L>Behrang Garakani","< 번역 누락 : 0x03593645 >"
0x039A6265,"Tom Bai","< 번역 누락 : 0x039A6265 >"
0x03A05F1E,"Standby Mode","대기 상태"
0x03A05F1F,"Approach to activate.","< 번역 누락 : 0x03A05F1F >"
0x03D5A610,"SHOOTING RANGE SCORE","사 격 점 수"
0x03D5A611,"LEVEL","레 벨"
0x03D5A612,"SCORE","점 수"
0x03D5A613,"STATION 2","< 번역 누락 : 0x03D5A613 >"
0x03E716A9,"LOAD DNA SAMPLE","< 번역 누락 : 0x03E716A9 >"
0x03F58477,"Yen","< 번역 누락 : 0x03F58477 >"
0x04005DBB,"Poison the Leviathan","독극물을 주입하라"
0x0418A209,"Kill a Brute","< 번역 누락 : 0x0418A209 >"
0x0430C383,"Complete Chapter 6 on any difficulty setting","< 번역 누락 : 0x0430C383 >"
0x04C13D01,"100\n\n90\n\n80\n\n70\n\n60","< 번역 누락 : 0x04C13D01 >"
0x04FE1D65,"INDESTRUCTIBLE","불 사 신"
0x051BCAC1,"Senior Advertising Manager","< 번역 누락 : 0x051BCAC1 >"
0x0526937F,"PERSONAL JOURNAL","개 인 기 록"
0x0537B3EF,"Credits","제 작 진"
0x0578B296,"Assistant Test Leads","< 번역 누락 : 0x0578B296 >"
0x058DFF78,"UK Product Manager","< 번역 누락 : 0x058DFF78 >"
0x058DFF7D,"UK Public Relations","< 번역 누락 : 0x058DFF7D >"
0x05B11B7E,"Key to the Sleep Block elevators.","< 번역 누락 : 0x05B11B7E >"
0x060500C7,"%1 appears to be damaged, are you sure you want to overwrite this data?","< 번역 누락 : 0x060500C7 >"
0x06245AB7,"Weapon Slot Right","무 기 칸 오 른 쪽"
0x062F17EA,"Use Kinesis Module","유 도 장 비 사 용"
0x0661CB1C,"There's Always Peng!","< 번역 누락 : 0x0661CB1C >"
0x0669FDE3,"N/A","< 번역 누락 : 0x0669FDE3 >"
0x067406F1,"LOAD?","실 행 ?"
0x06817817,"EXECUTIVE AREA UNLOCKED","간 부 구 역 해 제"
0x06E252C7,"Additional Art","< 번역 누락 : 0x06E252C7 >"
0x07118E3B,"Create the Poison","독극물을 만들어라"
0x0733C97D,"Keith Mutzman","< 번역 누락 : 0x0733C97D >"
0x078F2EA6,"Now that the ship has fuel and the centrifuge is working, I just have to re-engage the engines from the Engine Room.  The automatic navigation systems should then correct our orbit.","엔진을 가동하면 자동항해장치가 궤도를 수정할 것이다."
0x07AE824C,"DURATION","지속시간"
0x07E2F716,"PAYLOAD 8772 LAUNCHED","< 번역 누락 : 0x07E2F716 >"
0x07EF581C,"Wright Bagwell","< 번역 누락 : 0x07EF581C >"
0x07F677D9,"Would you like to install the latest EA Download Manager?  If you do not install the latest EA Download Manager, patches and certain features cannot be delivered to your machine.\n","< 번역 누락 : 0x07F677D9 >"
0x08222C2F,"Senior Global VP, EA Games Label Marketing","< 번역 누락 : 0x08222C2F >"
0x08AFD73F,"[Navigate]Navigate","< 번역 누락 : 0x08AFD73F >"
0x0918CD61,"[Activate]","< 번역 누락 : 0x0918CD61 >"
0x096A3A3C,"Tram Station","정 거 장"
0x096A3A3D,"Security Station","보 안 구 역"
0x096A3A3E,"Main Lab","주 연 구 실"
0x096A3A3F,"Bio Lab","생체 연구실"
0x096A3A40,"Clinic","진 료 실"
0x096A3A41,"Emergency Room","응 급 실"
0x096A3A42,"Morgue","영 안 실"
0x096A3A43,"Imaging Diagnostics","영 상 진 단 실"
0x096A3A44,"Zero-G Therapy Hallway","무중력 치료실 복도"
0x09778195,"Senior Gameplay Engineering","< 번역 누락 : 0x09778195 >"
