id,english,translation
0x002600F8,"[Left_Toggle]","[Left_Toggle]"
0x0033E7B4,"Senior Producers","수석 프로듀서"
0x006D74B4,"Downloadable content is being scanned.","다운로드 콘텐츠를 검사하는 중입니다."
0x006E3F1A,"MEDIUM CURRENCY","중간 화폐"
0x00914BC1,"TRACK CONTROL","@ 선로 조종기"
0x00914BC2,"SWITCH TRACKS","--선로 변경--"
0x00914BC3,"SWITCHING TRACKS","-선로 변경 중-"
0x00914BC4,"TRACK CONTROLS OFFLINE","선로 조종기 작동 중지"
0x00CD8701,"Move Back","뒤로 이동"
0x00EF2D3B,"Destroy the Gravity Tethers","중력 올가미를 파괴하라"
0x01295D13,"[Navigate]Navigate   [Use]Select   [Elev_Back]Back","[Navigate]이동   [Use]선택   [Elev_Back]뒤로"
0x0172CD2D,"CREW KEY","승무원 열쇠"
0x017B35EA,"Tab","Tab"
0x01876D3C,"Reconnect Power Modules Throughout Chamber","구역 내 파워 모듈 재연결"
0x0192B046,"Tram Station","정거장"
0x01C0B602,"Chapter 1:\nNew Arrivals","1장:\n새로운 방문객"
0x01C0B603,"Chapter 2:\nIntensive Care","2장:\n집중 치료"
0x01C0B604,"Chapter 3:\nCourse Correction","3장:\n항로 수정"
0x01C0B605,"Chapter 4:\nObliteration Imminent","4장:\n소멸 직전"
0x01C0B606,"Chapter 5:\nLethal Devotion","5장:\n치명적 헌신"
0x01C0B607,"Chapter 6:\nEnvironmental Hazard","6장:\n환경 유해성"
0x01C0B608,"Chapter 7: \nInto the Void","7장: \n공허 속으로"
0x01C0B609,"Chapter 8:\nSearch and Rescue","8장:\n수색 구조"
0x01C0B60A,"Chapter 9: \nDead on Arrival","9장: \n도착시 사망"
0x01CFF869,"I can use my uniform's RIG (Resource Integration Gear) to interface with the Ishimura's holographic display system.","유니폼의 RIG(자원제공 통합장비)를 이용하면 이시무라의 홀로그램 디스플레이 시스템에 접속할 수 있다."
0x02508BFD,"You can add items from the Shop or move items from the Safe here.","상점에서 아이템을 추가하거나 보관함에 있는 아이템을 이곳으로 옮길 수 있다."
0x029BAA62,"INVENTORY","가방"
0x02A0D6FB,"Training Tip:\n TK ","훈련 팁:\n 유도장비 "
0x02A0D6FC,"Training Tip:\n Airless Environments","훈련 팁:\n 진공 환경"
0x02A0D6FD,"Training Tip:\n Zero - G","훈련 팁:\n 무중력"
0x02A74B3F,"Supply Depot","보급품 저장소"
0x02A74B40,"Airlock B","밀폐실 B"
0x02A74B41,"Airlock D","밀폐실 D"
0x02A74B42,"Airlock C","밀폐실 C"
0x02F2CC98,"Get off my ship!","내 배에서 내려!"
0x034134A5,"Punch","휘두르기"
0x03593645,"1<T>QA Immersion\n<L>Craig Helm\nNolberto Meza\nMatt Tomczek\n\n<T>Senior QA Engineer\n<L>Behrang Garakani","1<T>QA 몰입도 검수\n<L>Craig Helm\nNolberto Meza\nMatt Tomczek\n\n<T>수석 QA 엔지니어\n<L>Behrang Garakani"
0x039A6265,"Tom Bai","Tom Bai"
0x03A05F1E,"Standby Mode","대기 상태"
0x03A05F1F,"Approach to activate.","다가가면 작동합니다."
0x03D5A610,"SHOOTING RANGE SCORE","사격장 점수"
0x03D5A611,"LEVEL","레벨"
0x03D5A612,"SCORE","점수"
0x03D5A613,"STATION 2","스테이션 2"
0x03E716A9,"LOAD DNA SAMPLE","DNA 샘플 투입"
0x03F58477,"Yen","엔"
0x04005DBB,"Poison the Leviathan","독극물을 주입하라"
0x0418A209,"Kill a Brute","브루트 제거"
0x0430C383,"Complete Chapter 6 on any difficulty setting","아무 난이도로 6장 완료"
0x04C13D01,"100\n\n90\n\n80\n\n70\n\n60","100\n\n90\n\n80\n\n70\n\n60"
0x04FE1D65,"INDESTRUCTIBLE","불사신"
0x051BCAC1,"Senior Advertising Manager","수석 광고 매니저"
0x0526937F,"PERSONAL JOURNAL","개인 기록"
0x0537B3EF,"Credits","제작진"
0x0578B296,"Assistant Test Leads","보조 테스트 리드"
0x058DFF78,"UK Product Manager","영국 제품 매니저"
0x058DFF7D,"UK Public Relations","영국 홍보"
0x05B11B7E,"Key to the Sleep Block elevators.","숙소 구역 엘리베이터 열쇠."
0x060500C7,"%1 appears to be damaged, are you sure you want to overwrite this data?","%1이(가) 손상된 것 같습니다. 이 데이터를 덮어쓰시겠습니까?"
0x06245AB7,"Weapon Slot Right","무기칸 오른쪽"
0x062F17EA,"Use Kinesis Module","유도장비 사용"
0x0661CB1C,"There's Always Peng!","언제나 팽이 있지!"
0x0669FDE3,"N/A","없음"
0x067406F1,"LOAD?","불러오기?"
0x06817817,"EXECUTIVE AREA UNLOCKED","간부 구역 해제"
0x06E252C7,"Additional Art","추가 아트"
0x07118E3B,"Create the Poison","독극물을 만들어라"
0x0733C97D,"Keith Mutzman","Keith Mutzman"
